QuestionID,Question,Answer,Keywords,DifficultyLevel
1,"What is Data Science?","Data Science is an interdisciplinary field focused on extracting knowledge and insights from structured and unstructured data.","Data Science, Definition, Interdisciplinary",Easy
2,"What are the key steps in a Data Science project?","Key steps include data collection, data cleaning, exploratory data analysis, model building, and evaluation.","Data Science, Steps, Project Workflow",Easy
3,"Name three popular tools used in Data Science.","Python, R, and SQL are popular tools used in Data Science.","Data Science, Tools, Python, R, SQL",Easy
4,"What is the role of a Data Scientist?","A Data Scientist analyzes and interprets complex data to help organizations make better decisions.","Data Scientist, Role, Analyze Data",Easy
5,"Define supervised learning in the context of Data Science.","Supervised learning is a type of machine learning where the model is trained on labeled data.","Supervised Learning, Machine Learning, Labeled Data",Medium
6,"What is the difference between supervised and unsupervised learning?","Supervised learning uses labeled data, while unsupervised learning works with unlabeled data to find patterns.","Supervised Learning, Unsupervised Learning, Machine Learning",Medium
7,"What is a data pipeline?","A data pipeline is a series of data processing steps that move data from source to destination.","Data Pipeline, Data Processing, Workflow",Medium
8,"Explain the importance of data cleaning.","Data cleaning ensures accuracy and quality by removing or correcting corrupt or inaccurate data.","Data Cleaning, Accuracy, Quality",Easy
9,"What is feature engineering?","Feature engineering involves creating new input features or modifying existing ones to improve model performance.","Feature Engineering, Model Performance",Medium
10,"What is the curse of dimensionality?","The curse of dimensionality refers to the challenges that arise when analyzing data with too many features.","Curse of Dimensionality, Features, Challenges",Hard
11,"Explain overfitting in machine learning models.","Overfitting occurs when a model learns the training data too well, capturing noise and losing generalization.","Overfitting, Machine Learning, Model Generalization",Medium
12,"How do you handle missing data in a dataset?","You can handle missing data by imputation, removing affected rows, or using models that tolerate missing values.","Missing Data, Imputation, Dataset",Medium
13,"What is data normalization?","Normalization is scaling data to fit within a specific range, improving model performance.","Data Normalization, Scaling, Preprocessing",Easy
14,"What is the purpose of exploratory data analysis (EDA)?","EDA is used to summarize main characteristics of the data and uncover patterns or anomalies.","Exploratory Data Analysis, EDA, Patterns, Anomalies",Easy
15,"What is the difference between classification and regression?","Classification predicts categories, while regression predicts continuous values.","Classification, Regression, Machine Learning",Easy
